id,batch_id,account_code,account_name,property_number,classification_name,item_description,brand,model,serial_no,qty_physical_count,qty_property_card,unit_cost,line_total,acquisition_date,office_name
19073,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0119-000,"Photocopier Machine","with ARDF; Gestetner MP2014AD SN: G617M950034",Gestetner,MP2014AD,G617M950034,1,1,54500.00,54500.00,2025-01-01,
19074,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0120-000,"Photocopier Machine","with ARDF; Gestetner MP2014AD SN: G617M950386",Gestetner,MP2014AD,G617M950386,1,1,54500.00,54500.00,2025-01-01,
19075,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0121-000,"Photocopier Machine","with ARDF; Gestetner MP2014AD SN: G618M550094",Gestetner,MP2014AD,G618M550094,1,1,54500.00,54500.00,2025-01-01,
19076,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0122-000,"Photocopier Machine","with ARDF; Gestetner MP2001L SN: E346M550018",Gestetner,MP2001L,E346M550018,1,1,79000.00,79000.00,2025-01-01,
19077,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0123-000,"Photocopier Machine","with ARDF; Gestetner MP2014AD SN: G617M750155",Gestetner,MP2014AD,G617M750155,1,1,54500.00,54500.00,2025-01-01,
19078,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0006-013,Airconditioner,"3 ton; floor mounted; Kolin, Outdoor: 20221805-14144; Indoor: 20211801-13643",Kolin,20221805-14144,"20221805-14144 / 20211801-13643",1,1,84650.00,84650.00,2025-01-01,"College of Computer Studies"
19079,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0007-013,Airconditioner,"3 ton; floor mounted; Kolin, Outdoor: SN: 20221805-14147; Indoor: 20211806-14435",Kolin,SN,"20221805-14147 / 20211806-14435",1,1,84650.00,84650.00,2025-01-01,"College of Computer Studies"
19080,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0008-013,Airconditioner,"3 ton; floor mounted; Kolin, Outdoor: SN: 20221805-13796 Indoor: 20211801-13739",Kolin,SN,"20221805-13796 / 20211801-13739",1,1,84650.00,84650.00,2025-01-01,"College of Computer Studies"
19081,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0124-000,Aircon,"Wall Mounted-DAIKIN 2.5 HP SN: E012583",Wall,HP,E012583,1,1,53900.00,53900.00,2025-01-01,
19082,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0125-000,Aircon,"Wall Mounted-DAIKIN 2.5 HP SN: E009159",Wall,HP,E009159,1,1,53900.00,53900.00,2025-01-01,
19083,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0126-000,Aircon,"Wall Mounted-DAIKIN 2.5 HP SN: E012502",Wall,HP,E012502,1,1,53900.00,53900.00,2025-01-01,
19084,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0127-000,Aircon,"Wall Mounted-DAIKIN 2.5 HP SN: E010708",Wall,HP,E010708,1,1,53900.00,53900.00,2025-01-01,
19085,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0001-028,Aircon,"5 tonner; split type; floor mounted; Koppel SN: KL273089",Koppel,Koppel,KL273089,1,1,103320.00,103320.00,2025-01-01,"Laboratory High School"
19086,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0023-021,Aircon,"split type 3 tonner; Kolin SN: 20211807-15269",Kolin,Kolin,20211807-15269,1,1,76100.00,76100.00,2025-01-01,"College of Maritime Studies"
19087,14,1.06.05.020.00,"Office Equipment",2018-01-00.000-0001-021,Aircon,"split type 3 tonner; Kolin SN: 20211807-15282",Kolin,Kolin,20211807-15282,1,1,76100.00,76100.00,2018-12-05,"College of Maritime Studies"
19088,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0024-021,Aircon,"split type 3 tonner; Kolin SN: 20211807-15277",Kolin,Kolin,20211807-15277,1,1,76100.00,76100.00,2025-01-01,"College of Maritime Studies"
19089,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0025-021,Aircon,"split type 3 tonner; Kolin SN: 20211806-14244",Kolin,Kolin,20211806-14244,1,1,76100.00,76100.00,2025-01-01,"College of Maritime Studies"
19090,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0009-013,Aircon,"5 tonner, split type; floor mounted; Koppel SN: KL273088",Koppel,Koppel,KL273088,1,1,103320.00,103320.00,2025-01-01,"College of Computer Studies"
19091,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0010-013,Aircon,"6 tonner, split type; floor mounted; Koppel SN: LL323286",Koppel,Koppel,LL323286,1,1,103320.00,103320.00,2025-01-01,"College of Computer Studies"
